,function,coverage,generations,pop_size,missed_lines,test_cases
35,search,1.0,0,64,[],"[""search([''], '')""]"
36,bot_responses,1.0,0,64,[],"[""bot_responses('OK, please provide the following details: date, time, name, and the doctor you would like to visit.')"", ""bot_responses('date')"", ""bot_responses('i want to book an appointment')""]"
37,form_subarrays,1.0,0,64,[],"['form_subarrays([0, 0, 0, 80461, 0, 0, 50154, 0, 0], 11774)', 'form_subarrays([], 0)']"
38,get_probability_of_equal,1.0,0,64,[],"['get_probability_of_equal([1, 0, 1, 0, 0])']"
39,bubble_sort,1.0,0,64,[],"['bubble_sort([-8668, 4706, 0, 30418, 0, -90295, 0, 19629, 11630, -41174])']"
40,order_without_nlogn,1.0,0,64,[],"['order_without_nlogn([1, -91382.26402251859, 53242.57572225621, 43303.565170720336, 1, 0])']"
41,move_items,1.0,0,64,[],"['move_items([74266, 18068, 1508, 0, -22402, 0, 0, 0], [])']"
42,array_sum,1.0,0,64,[],"['array_sum([0, 44427.758873343235, 86190.08973002704, 6997.087588268623, 0, 87961.74325698777])']"
43,find_max,1.0,0,64,[],"['find_max([0, 0, 0, 10568, 10424, -26381, 0])']"
44,remove_vowels,1.0,0,64,[],"[""remove_vowels('u')""]"
45,sum_natural_numbers,1.0,0,64,[],['sum_natural_numbers(1)']
46,common_substring,1.0,0,64,[],"[""common_substring('.O%v0!dTS%{b:m.hh', '\\nOdOzePrlfxz~Hz\\x0b~u:Q\\tiS')""]"
47,find_max_min,1.0,0,64,[],"['find_max_min([-61530.57966518876, 2, 0, 0, 0, 0, 0, 0, 95199.11141978655, 2])']"
48,countVowels,1.0,0,64,[],"[""countVowels('aeiouAEIOU')""]"
49,max_int,1.0,0,64,[],"['max_int(0, 0)', 'max_int(0, -80543)']"
50,classify,1.0,0,64,[],"['classify(30000)', 'classify(87871.82738351106)', 'classify(0)']"
51,most_frequent,1.0,0,64,[],"['most_frequent([-45830, -85948, -22556, -55227])']"
52,hammingDistance,1.0,2,64,[],"[""hammingDistance('Strings must be of equal>length.', 'Strings mu&t be of equal length.')"", ""hammingDistance('Strings must be of equal length.', ' tJT\\nlNXx{y0G\\nZPCaA8')""]"
53,find_two_add_up_to_target,1.0,0,64,[],"['find_two_add_up_to_target([-64917], -70652)', 'find_two_add_up_to_target([8699, 0, 35213, 8378, 0], 0)']"
